cal_dt,rtl_week_beg_dt,TOT_GMB_PLAN,nonpaid_session,seo_session,crm_clicks,pla_spend,pla_impressions,pla_clicks,pla_igmb,pla_inorb,pla_iab,pla_norb,pla_ab,pla_irev,pla_trans_cnt,text_spend,text_impressions,text_clicks,text_igmb,text_inorb,text_iab,text_norb,text_ab,text_irev,text_trans_cnt,epn_spend,epn_clicks,epn_igmb,epn_inorb,epn_iab,epn_norb,epn_ab,epn_irev,epn_trans_cnt,app_spend,app_impressions,app_clicks,app_igmb,app_inorb,app_iab,app_norb,app_ab,app_irev,app_trans_cnt,social_spend,social_impressions,social_clicks,social_igmb,social_inorb,social_iab,social_norb,social_ab,social_irev,social_trans_cnt,display_spend,display_impressions,display_clicks,display_igmb,display_inorb,display_iab,display_norb,display_ab,display_irev,display_trans_cnt
2020/1/1,2019/12/29,62551652.29,27877728.00,1908334.00,9294711.00,323295.92,423566356.00,4789578.00,6441399.03,20289.82,30904.53,19902.00,35648.00,638152.68,159681.00,82762.13,11549572.00,374357.00,638057.80,1584.17,2435.49,1793.00,3308.00,62707.60,19695.00,158623.84,2506057.00,4063449.57,4415.53,7022.53,5691.00,11993.00,381710.34,134709.00,360.78,77291.00,6669.00,2936.76,7.76,7.97,8.00,26.00,2349.40,43.00,36796.68,7662294.00,664898.00,444884.26,16.80,41.39,168.00,528.00,44626.51,63216.00,25892.90,4619394.00,52385.00,92638.31,15.60,19.36,18.00,73.00,7258.16,3565.00
2020/1/2,2019/12/29,83203465.20,32458536.00,2136883.00,12987603.00,325868.11,421338176.00,4699467.00,7258679.55,22051.49,33304.60,21620.00,38313.00,710181.10,172677.00,130777.41,44013414.00,1456763.00,899766.82,2219.46,3337.99,2499.00,4436.00,85930.93,26464.00,192214.59,2616878.00,5319586.90,5155.03,8027.95,6781.00,13804.00,475433.74,155884.00,1091.32,218966.00,15615.00,5412.61,7.32,7.53,8.00,44.00,4330.09,73.00,40365.24,7856084.00,703470.00,659735.76,20.00,51.14,200.00,656.00,65927.92,90668.00,17547.33,4574924.00,54647.00,86917.40,11.90,16.68,16.00,86.00,8121.18,4400.00
2020/1/3,2019/12/29,88433091.96,32298016.00,2115931.00,12749837.00,247759.09,390695755.00,4434938.00,6713773.03,20964.85,31555.29,20560.00,36270.00,658965.10,161882.00,83664.31,36897166.00,1312991.00,742214.31,1896.82,2807.79,2137.00,3715.00,71628.55,22029.00,193254.85,2577404.00,5642446.16,4789.56,7562.31,6419.00,13225.00,487006.40,164612.00,1078.32,221266.00,15692.00,11294.48,10.32,11.01,12.00,64.00,9035.59,117.00,41389.64,7693944.00,699022.00,714058.01,21.60,60.67,216.00,788.00,70730.66,98980.00,21713.51,5081483.00,67826.00,112207.77,13.30,17.26,15.00,73.00,11218.69,4859.00
2020/1/4,2019/12/29,74402317.79,30781018.00,2178809.00,11538965.00,267776.66,434816841.00,5011178.00,6826753.83,22496.54,33852.78,22068.00,38914.00,685978.64,172957.00,82212.90,37088466.00,1420893.00,667631.97,1882.78,2805.56,2121.00,3736.00,66756.98,21908.00,175948.75,2719795.00,4422191.37,4878.39,7616.09,6366.00,13067.00,422339.13,150831.00,1066.26,212715.00,16012.00,6218.44,2.91,3.46,3.00,30.00,4974.75,60.00,40475.76,7290682.00,695332.00,624043.73,21.60,50.01,216.00,632.00,59814.18,89200.00,21988.36,4769927.00,69352.00,143506.84,22.40,26.63,23.00,85.00,12241.52,4883.00
2020/1/5,2020/1/5,77302158.96,30233403.00,2138840.00,11080147.00,269545.92,415579340.00,4848739.00,6693789.95,21631.37,32819.09,21219.00,37815.00,671591.36,168262.00,77807.75,35216648.00,1338128.00,667032.78,1765.11,2617.49,1988.00,3466.00,63600.88,20139.00,178890.38,2703603.00,4578843.45,4902.53,7756.57,6500.00,13574.00,438689.96,154525.00,1196.91,265512.00,18662.00,8539.12,10.23,10.65,11.00,47.00,6831.29,90.00,41909.96,8044980.00,716244.00,641224.20,33.20,59.43,332.00,716.00,63534.06,92884.00,24840.51,5343857.00,75558.00,105654.55,13.00,17.64,18.00,86.00,10454.94,5244.00
2020/1/6,2020/1/5,85074044.88,33160767.00,2117099.00,14345056.00,280904.53,372770226.00,4245624.00,6675869.20,20595.36,31011.20,20183.00,35634.00,661796.06,154713.00,178045.54,30502826.00,1077910.00,854185.52,1924.79,2885.12,2162.00,3793.00,80760.26,20968.00,200723.18,2584837.00,5386659.12,4939.84,7772.75,6659.00,13650.00,471636.76,156116.00,1102.46,218328.00,13832.00,3816.63,3.88,4.36,4.00,28.00,3053.31,58.00,40986.92,7771998.00,630372.00,593670.71,22.80,47.93,228.00,596.00,58027.11,79220.00,22946.23,5657284.00,71919.00,127067.33,13.60,17.83,22.00,84.00,9965.78,4396.00
2020/1/7,2020/1/5,82729260.63,31546632.00,2086121.00,12352761.00,286406.68,365610072.00,4183043.00,6533135.49,20008.23,30045.22,19609.00,34498.00,641320.63,149692.00,30539.32,7566410.00,247585.00,489527.27,1276.50,1932.49,1411.00,2511.00,46661.93,14069.00,196760.84,2560204.00,5221788.64,4975.50,7716.77,6706.00,13468.00,458929.73,148377.00,1195.97,227605.00,14571.00,8092.09,3.88,4.50,4.00,55.00,6473.67,84.00,41877.90,7541962.00,600266.00,561196.51,22.40,45.62,224.00,564.00,54266.51,73524.00,24113.27,7293173.00,95633.00,117572.18,23.00,27.99,27.00,100.00,10704.09,5035.00
2020/1/8,2020/1/5,81634594.96,31762285.00,2069141.00,12601764.00,269958.59,349668638.00,4091171.00,6387697.69,19239.87,29051.70,18859.00,33414.00,627579.42,146182.00,36119.29,8734293.00,287251.00,557714.54,1406.40,2158.10,1556.00,2807.00,53308.38,16177.00,196834.77,2549174.00,5369047.43,4892.39,7710.66,6612.00,13481.00,464191.93,150131.00,1067.53,198850.00,13469.00,5934.40,9.70,9.91,10.00,34.00,4747.52,56.00,40945.14,6993126.00,551036.00,567266.67,21.20,47.97,212.00,604.00,52173.30,72320.00,25184.10,13439040.00,180899.00,143878.75,35.90,41.91,30.00,118.00,14066.26,5998.00
2020/1/9,2020/1/5,82298059.02,31870597.00,2068017.00,12603967.00,274618.05,357199649.00,4150839.00,6444041.96,18869.68,28589.16,18498.00,32916.00,631038.00,147879.00,42152.77,9240232.00,314571.00,580237.48,1515.44,2298.68,1684.00,2999.00,56254.47,16952.00,179005.75,2559717.00,5018707.09,4441.26,7067.49,5973.00,12484.00,448020.69,148509.00,864.44,152031.00,10589.00,4844.44,3.88,3.95,4.00,30.00,3875.55,56.00,34467.54,6603632.00,473882.00,509289.73,22.80,45.75,228.00,564.00,49948.33,70388.00,18720.46,12217667.00,174593.00,139531.84,57.50,61.05,34.00,86.00,13550.00,2980.00
2020/1/10,2020/1/5,82514985.52,31463902.00,2000702.00,12570857.00,256556.35,363705600.00,4190393.00,6138419.42,18967.14,28678.53,18596.00,33002.00,610786.65,145409.00,38828.73,9124956.00,305906.00,537801.54,1500.38,2261.92,1680.00,2970.00,55005.88,16931.00,176779.44,2575605.00,5066891.61,4612.00,7347.17,6192.00,12790.00,446232.25,146355.00,568.00,110763.00,8178.00,5786.48,2.91,3.19,3.00,24.00,4629.19,35.00,32188.14,6098344.00,486528.00,557135.80,18.00,37.67,180.00,468.00,53955.12,74776.00,27295.31,7082849.00,89766.00,110410.46,90.76,92.40,62.00,86.00,10630.79,2423.00
